id,url,status,redirect_url,is_domain_for_sale,is_domain_expired,is_domain_parking,is_domain_managed,is_seo_spam,is_admin_panel
743768,http://.akabou.ne.jp/marufuku,404,,False,False,False,False,False,False
187444,http://.729.co.jp/index.html,200,http://729.co.jp/index.html,False,False,False,False,False,False
3959941,http://.dam-dan.co.jp/index.html,200,http://dam-dan.co.jp/index.html,False,False,False,False,False,False
3576397,http://.iwanokanagata.co.jp/,200,http://iwanokanagata.co.jp/,False,False,False,False,False,False
137668,http://.odn.ne.jp,200,https://odn.ne.jp/,False,False,False,False,False,True
4101544,http://.odn.ne.jp/~hai00030/index.html,200,https://odn.ne.jp/index.html?para=nf,False,False,False,False,False,True
1253631,http://.plala.or.jp/east-c/,404,,False,False,False,False,False,False
142583,http://.plala.or.jp/ebisu-plan/index.html,404,,False,False,False,False,False,False
1161970,http://.plala.or.jp/eisekkei/,404,,False,False,False,False,False,False
4479079,http://.plala.or.jp/FBK/,404,,False,False,False,False,False,False
3526888,http://.plala.or.jp/kaigo-dash/,404,,False,False,False,False,False,False
2006292,http://.smileurayasu.com,200,http://smileurayasu.com,False,False,False,False,False,False
2310897,http://.sobikogyo.com/home,404,,False,False,False,False,False,False
12952,http://.plala.or.jp/ko-ku/index.html,404,,False,False,False,False,False,False
2422293,http://.plala.or.jp/kohda-kensetu/index.html,404,,False,False,False,False,False,False
1757940,http://.plala.or.jp/LS-kaigo/vnst-sakura.html,404,,False,False,False,False,False,False
2937681,http://.plala.or.jp/maido-yoshioka/index.html,404,,False,False,False,False,False,False
411980,http://0-10.co.jp,200,,False,False,False,False,False,False
3519019,http://.plala.or.jp/nagatatatu/index.html,404,,False,False,False,False,False,False
2158331,http://0024.co.jp,200,,False,False,False,False,False,False
3532348,http://0051.co.jp/,200,,False,False,False,False,False,False
4459280,http://.plala.or.jp/oomorihousing/,404,,False,False,False,False,False,False
2678333,http://0-en.net,200,https://www.0-en.net/,False,False,True,False,True,False
1762919,http://.plala.or.jp/pl-umeda/index.html,404,,False,False,False,False,False,False
2871404,http://0007.co.jp/,200,https://www.0007.co.jp/,False,False,True,False,False,False
4409673,http://0039.jp/,200,,False,False,True,False,True,False
3662711,http://.plala.or.jp/shinjuku/aj/main.html,404,,False,False,False,False,False,False
5340599,http://0109g.com/,200,,False,False,False,False,False,False
487817,http://0101net.jp,200,,False,False,False,False,False,False
1289836,http://01-office.co.jp/index.html,200,https://01-office.co.jp/index.html,False,False,False,False,False,False
898795,http://0030.jp,200,https://0030.jp/,False,False,False,False,False,False
3055145,http://.plala.or.jp/simada_kensetu/,404,,False,False,False,False,False,False
4158161,http://01maruichi.co.jp/,200,,False,False,False,False,False,False
4063346,http://01farm.com,200,,False,False,False,False,False,False
2788304,http://.plala.or.jp/superojacky1974,404,,False,False,False,False,False,False
1296738,http://.plala.or.jp/toyokoh/index.html,404,,False,False,False,False,False,False
1545497,http://01uniform.jp/,403,,False,False,False,False,False,False
1806553,http://0172.jp/,200,https://0172.co.jp,False,False,False,False,False,False
4062836,http://01degree.jp,200,https://01degree.jp/,False,False,True,False,False,False
2333131,http://00works.asia/,200,https://www.00works.asia/,False,False,False,False,False,False
2977096,http://0216.co.jp/index.html,200,,False,False,False,False,False,False
1161585,http://0244445000.jp/?FrontPage,200,,False,False,False,False,False,False
2238909,http://02po.com,200,,False,False,False,True,False,False
5285341,http://0271.jp/,200,,False,False,False,False,False,False
3224151,http://01okada.co.jp/,200,,False,False,False,False,False,False
1884682,http://01fuji.jp,200,https://01fuji.jp/,False,False,True,False,False,False
1347004,http://0291.jp,200,,False,False,True,False,False,False
3277844,http://023.co.jp/,200,,False,False,True,False,False,False
1069608,http://026968.com/,200,https://026968.com/,False,False,False,False,False,False
1012909,http://024gamo.co.jp/,200,https://gamo-ouest.co.jp/,False,False,True,False,False,False
5219240,http://0321.jp,403,,False,False,False,False,False,False
2459746,http://0210.com/,200,https://www.0210.com/,False,False,True,False,True,False
889280,http://0542500222.co.jp,200,,False,False,False,False,False,False
2034710,http://0529383799.com/,200,https://0529383799.com/,False,False,False,False,False,False
2193521,http://0764320110.jp,200,,False,False,False,False,False,False
1724562,http://06d.jp/,200,,False,False,False,False,False,False
4243715,http://0843.co.jp/senrihanbai/,404,,False,False,False,False,False,False
4211574,http://0508.co.jp/,200,https://0508.co.jp/,False,False,False,False,False,False
5350991,http://081128.jp/,200,,False,False,False,False,False,False
2595257,http://0721-dct.com/,200,,False,False,False,False,False,False
383959,http://0861.jp,200,,False,False,False,False,False,False
2825355,http://0845.boo.jp/tomiyoshi/,200,,False,False,False,False,False,False
4648124,http://0681.jp,200,https://0681.jp/,False,False,False,False,False,False
5282684,http://09446.jp,200,,False,False,False,False,False,False
2062507,http://0799.jp,200,https://www.0799.jp/,False,False,True,False,True,False
3259960,http://0845.boo.jp/hassaku/,200,https://0845.boo.jp/hassaku/,False,False,True,False,False,False
3137047,http://0873.jp/,200,,False,False,False,False,False,False
819394,http://0298-328.com,200,https://www.0298-328.com/,False,False,False,False,False,False
5130693,http://0986221000.com?,200,http://0986221000.com,False,False,False,False,False,False
465194,http://0977663211.com,200,https://0977663211.com/,False,False,True,False,False,False
2905295,http://08works.jp,200,https://www.08works.jp/,False,False,False,False,False,False
1058133,http://0854.jp/,200,https://0854.jp/,False,False,True,False,True,False
3357879,http://0cb2j1017292v8p.wix.com/yaginuma-kensetu,404,,False,False,False,False,False,False
332392,http://1-10.com,200,https://www.1-10.com/,False,False,False,False,False,False
1067031,http://0top.jp/,200,https://0top.jp/,False,False,False,False,False,False
4702850,http://0cean.jp/,200,https://0cean.jp/,False,False,False,False,False,False
2246679,http://1-percent.co.jp/contact.html,404,,False,False,False,False,False,False
2322318,http://087.com,200,https://www.087.com:443/,False,False,True,False,True,False
3361284,http://1-haraki.com/,200,,False,False,False,False,False,False
1102280,http://1-as-1.com/,200,https://www.1-as-1.com/,False,False,True,False,True,False
1427778,http://1.onoknife.com/top.htm,200,https://onoknife.com/,False,False,False,False,False,False
849306,http://1-building.co.jp,200,https://1-building.co.jp/,False,False,False,False,False,False
1526536,http://1-world.co.jp/,200,https://1-world.co.jp/,False,False,False,False,False,False
5041077,http://09su.com,200,https://09su.com/wp/,False,False,True,False,False,False
1695851,http://1-ino.co.jp,200,https://www.1-ino.co.jp/,False,False,False,False,False,False
2467495,http://10-12.jp/index.html,200,,False,False,False,False,False,False
4083925,http://1-zeroone.co.jp/index.html,200,https://1-zeroone.co.jp/index.html,False,False,False,False,False,False
2569747,http://1-maru.co.jp,200,https://www.1-maru.co.jp/,False,False,True,False,False,False
4656554,http://1-zeroone.co.jp/yunrinbou/index.html,200,https://1-zeroone.co.jp/yunrinbou/index.html,False,False,False,False,False,False
4849376,http://10-tec.com/,200,https://juso-tec.com/,False,False,False,False,False,False
4569647,http://10-2.co.jp,200,https://www.10-2.co.jp/,False,False,True,False,True,False
5302582,http://1000jin.jp/index.htm,404,,False,False,False,False,False,False
